word,p1,p2,p3,p4,p5
fills,f,i,l,l,s
nylon,n,y,l,o,n
lunar,l,u,n,a,r
pulse,p,u,l,s,e
flown,f,l,o,w,n
elbow,e,l,b,o,w
fatal,f,a,t,a,l
sites,s,i,t,e,s
moths,m,o,t,h,s
meats,m,e,a,t,s
foxes,f,o,x,e,s
mined,m,i,n,e,d
attic,a,t,t,i,c
fiery,f,i,e,r,y
mount,m,o,u,n,t
usage,u,s,a,g,e
swear,s,w,e,a,r
snowy,s,n,o,w,y
rusty,r,u,s,t,y
scare,s,c,a,r,e
traps,t,r,a,p,s
relax,r,e,l,a,x
react,r,e,a,c,t
valid,v,a,l,i,d
robin,r,o,b,i,n
cease,c,e,a,s,e
gills,g,i,l,l,s
prior,p,r,i,o,r
safer,s,a,f,e,r
polio,p,o,l,i,o
loyal,l,o,y,a,l
swell,s,w,e,l,l
salty,s,a,l,t,y
marsh,m,a,r,s,h
vague,v,a,g,u,e
weave,w,e,a,v,e
mound,m,o,u,n,d
seals,s,e,a,l,s
mules,m,u,l,e,s
virus,v,i,r,u,s
scout,s,c,o,u,t
acute,a,c,u,t,e
windy,w,i,n,d,y
stout,s,t,o,u,t
folds,f,o,l,d,s
seize,s,e,i,z,e
hilly,h,i,l,l,y
joins,j,o,i,n,s
pluck,p,l,u,c,k
stack,s,t,a,c,k
lords,l,o,r,d,s
dunes,d,u,n,e,s
burro,b,u,r,r,o
hawks,h,a,w,k,s
trout,t,r,o,u,t
feeds,f,e,e,d,s
scarf,s,c,a,r,f
halls,h,a,l,l,s
coals,c,o,a,l,s
towel,t,o,w,e,l
souls,s,o,u,l,s
elect,e,l,e,c,t
buggy,b,u,g,g,y
pumps,p,u,m,p,s
loans,l,o,a,n,s
spins,s,p,i,n,s
files,f,i,l,e,s
oxide,o,x,i,d,e
pains,p,a,i,n,s
photo,p,h,o,t,o
rival,r,i,v,a,l
flats,f,l,a,t,s
syrup,s,y,r,u,p
rodeo,r,o,d,e,o
sands,s,a,n,d,s
moose,m,o,o,s,e
pints,p,i,n,t,s
curly,c,u,r,l,y
comic,c,o,m,i,c
cloak,c,l,o,a,k
onion,o,n,i,o,n
clams,c,l,a,m,s
scrap,s,c,r,a,p
didst,d,i,d,s,t
couch,c,o,u,c,h
codes,c,o,d,e,s
fails,f,a,i,l,s
ounce,o,u,n,c,e
lodge,l,o,d,g,e
greet,g,r,e,e,t
gypsy,g,y,p,s,y
utter,u,t,t,e,r
paved,p,a,v,e,d
zones,z,o,n,e,s
fours,f,o,u,r,s
alley,a,l,l,e,y
tiles,t,i,l,e,s
bless,b,l,e,s,s
crest,c,r,e,s,t
elder,e,l,d,e,r
kills,k,i,l,l,s
yeast,y,e,a,s,t
erect,e,r,e,c,t
bugle,b,u,g,l,e
medal,m,e,d,a,l
roles,r,o,l,e,s
hound,h,o,u,n,d
snail,s,n,a,i,l
alter,a,l,t,e,r
ankle,a,n,k,l,e
relay,r,e,l,a,y
loops,l,o,o,p,s
zeros,z,e,r,o,s
bites,b,i,t,e,s
modes,m,o,d,e,s
debts,d,e,b,t,s
realm,r,e,a,l,m
glove,g,l,o,v,e
rayon,r,a,y,o,n
swims,s,w,i,m,s
poked,p,o,k,e,d
stray,s,t,r,a,y
lifts,l,i,f,t,s
maker,m,a,k,e,r
lumps,l,u,m,p,s
graze,g,r,a,z,e
dread,d,r,e,a,d
barns,b,a,r,n,s
docks,d,o,c,k,s
masts,m,a,s,t,s
pours,p,o,u,r,s
wharf,w,h,a,r,f
curse,c,u,r,s,e
plump,p,l,u,m,p
robes,r,o,b,e,s
seeks,s,e,e,k,s
cedar,c,e,d,a,r
curls,c,u,r,l,s
jolly,j,o,l,l,y
myths,m,y,t,h,s
cages,c,a,g,e,s
gloom,g,l,o,o,m
locks,l,o,c,k,s
pedal,p,e,d,a,l
beets,b,e,e,t,s
crows,c,r,o,w,s
anode,a,n,o,d,e
slash,s,l,a,s,h
creep,c,r,e,e,p
rowed,r,o,w,e,d
chips,c,h,i,p,s
fists,f,i,s,t,s
wines,w,i,n,e,s
cares,c,a,r,e,s
valve,v,a,l,v,e
newer,n,e,w,e,r
motel,m,o,t,e,l
ivory,i,v,o,r,y
necks,n,e,c,k,s
clamp,c,l,a,m,p
barge,b,a,r,g,e
blues,b,l,u,e,s
alien,a,l,i,e,n
frown,f,r,o,w,n
strap,s,t,r,a,p
crews,c,r,e,w,s
shack,s,h,a,c,k
gonna,g,o,n,n,a
saves,s,a,v,e,s
stump,s,t,u,m,p
ferry,f,e,r,r,y
idols,i,d,o,l,s
cooks,c,o,o,k,s
juicy,j,u,i,c,y
glare,g,l,a,r,e
carts,c,a,r,t,s
alloy,a,l,l,o,y
bulbs,b,u,l,b,s
lawns,l,a,w,n,s
lasts,l,a,s,t,s
fuels,f,u,e,l,s
oddly,o,d,d,l,y
crane,c,r,a,n,e
filed,f,i,l,e,d
weird,w,e,i,r,d
shawl,s,h,a,w,l
slips,s,l,i,p,s
troop,t,r,o,o,p
bolts,b,o,l,t,s
suite,s,u,i,t,e
sleek,s,l,e,e,k
quilt,q,u,i,l,t
tramp,t,r,a,m,p
blaze,b,l,a,z,e
atlas,a,t,l,a,s
odors,o,d,o,r,s
scrub,s,c,r,u,b
crabs,c,r,a,b,s
probe,p,r,o,b,e
logic,l,o,g,i,c
adobe,a,d,o,b,e
exile,e,x,i,l,e
rebel,r,e,b,e,l
grind,g,r,i,n,d
sting,s,t,i,n,g
spine,s,p,i,n,e
cling,c,l,i,n,g
desks,d,e,s,k,s
grove,g,r,o,v,e
leaps,l,e,a,p,s
prose,p,r,o,s,e
lofty,l,o,f,t,y
agony,a,g,o,n,y
snare,s,n,a,r,e
tusks,t,u,s,k,s
bulls,b,u,l,l,s
moods,m,o,o,d,s
humid,h,u,m,i,d
finer,f,i,n,e,r
dimly,d,i,m,l,y
plank,p,l,a,n,k
china,c,h,i,n,a
pines,p,i,n,e,s
guilt,g,u,i,l,t
sacks,s,a,c,k,s
brace,b,r,a,c,e
quote,q,u,o,t,e
lathe,l,a,t,h,e
gaily,g,a,i,l,y
fonts,f,o,n,t,s
scalp,s,c,a,l,p
adopt,a,d,o,p,t
foggy,f,o,g,g,y
ferns,f,e,r,n,s
grams,g,r,a,m,s
clump,c,l,u,m,p
perch,p,e,r,c,h
tumor,t,u,m,o,r
teens,t,e,e,n,s
crank,c,r,a,n,k
fable,f,a,b,l,e
hedge,h,e,d,g,e
genes,g,e,n,e,s
sober,s,o,b,e,r
boast,b,o,a,s,t
tract,t,r,a,c,t
cigar,c,i,g,a,r
unite,u,n,i,t,e
owing,o,w,i,n,g
thigh,t,h,i,g,h
haiku,h,a,i,k,u
swish,s,w,i,s,h
dikes,d,i,k,e,s
wedge,w,e,d,g,e
booth,b,o,o,t,h
eased,e,a,s,e,d
frail,f,r,a,i,l
cough,c,o,u,g,h
tombs,t,o,m,b,s
darts,d,a,r,t,s
forts,f,o,r,t,s
choir,c,h,o,i,r
pouch,p,o,u,c,h
pinch,p,i,n,c,h
hairy,h,a,i,r,y
buyer,b,u,y,e,r
torch,t,o,r,c,h
vigor,v,i,g,o,r
waltz,w,a,l,t,z
heats,h,e,a,t,s
herbs,h,e,r,b,s
users,u,s,e,r,s
flint,f,l,i,n,t
click,c,l,i,c,k
madam,m,a,d,a,m
bleak,b,l,e,a,k
blunt,b,l,u,n,t
aided,a,i,d,e,d
lacks,l,a,c,k,s
masks,m,a,s,k,s
waded,w,a,d,e,d
risks,r,i,s,k,s
nurse,n,u,r,s,e
chaos,c,h,a,o,s
sewed,s,e,w,e,d
cured,c,u,r,e,d
ample,a,m,p,l,e
lease,l,e,a,s,e
steak,s,t,e,a,k
sinks,s,i,n,k,s
merit,m,e,r,i,t
bluff,b,l,u,f,f
bathe,b,a,t,h,e
gleam,g,l,e,a,m
bonus,b,o,n,u,s
colts,c,o,l,t,s
shear,s,h,e,a,r
gland,g,l,a,n,d
silky,s,i,l,k,y
skate,s,k,a,t,e
birch,b,i,r,c,h
anvil,a,n,v,i,l
sleds,s,l,e,d,s
groan,g,r,o,a,n
maids,m,a,i,d,s
meets,m,e,e,t,s
speck,s,p,e,c,k
hymns,h,y,m,n,s
hints,h,i,n,t,s
drown,d,r,o,w,n
bosom,b,o,s,o,m
slick,s,l,i,c,k
quest,q,u,e,s,t
coils,c,o,i,l,s
spied,s,p,i,e,d
snows,s,n,o,w,s
stead,s,t,e,a,d
snack,s,n,a,c,k
plows,p,l,o,w,s
blond,b,l,o,n,d
tamed,t,a,m,e,d
thorn,t,h,o,r,n
waits,w,a,i,t,s
glued,g,l,u,e,d
banjo,b,a,n,j,o
tease,t,e,a,s,e
arena,a,r,e,n,a
bulky,b,u,l,k,y
carve,c,a,r,v,e
stunt,s,t,u,n,t
warms,w,a,r,m,s
shady,s,h,a,d,y
razor,r,a,z,o,r
folly,f,o,l,l,y
leafy,l,e,a,f,y
notch,n,o,t,c,h
fools,f,o,o,l,s
otter,o,t,t,e,r
pears,p,e,a,r,s
flush,f,l,u,s,h
genus,g,e,n,u,s
ached,a,c,h,e,d
fives,f,i,v,e,s
flaps,f,l,a,p,s
spout,s,p,o,u,t
smote,s,m,o,t,e
fumes,f,u,m,e,s
adapt,a,d,a,p,t
cuffs,c,u,f,f,s
tasty,t,a,s,t,y
stoop,s,t,o,o,p
clips,c,l,i,p,s
disks,d,i,s,k,s
sniff,s,n,i,f,f
lanes,l,a,n,e,s
brisk,b,r,i,s,k
imply,i,m,p,l,y
demon,d,e,m,o,n
super,s,u,p,e,r
furry,f,u,r,r,y
raged,r,a,g,e,d
growl,g,r,o,w,l
texts,t,e,x,t,s
hardy,h,a,r,d,y
stung,s,t,u,n,g
typed,t,y,p,e,d
hates,h,a,t,e,s
wiser,w,i,s,e,r
timid,t,i,m,i,d
serum,s,e,r,u,m
beaks,b,e,a,k,s
rotor,r,o,t,o,r
casts,c,a,s,t,s
baths,b,a,t,h,s
glide,g,l,i,d,e
plots,p,l,o,t,s
trait,t,r,a,i,t
resin,r,e,s,i,n
slums,s,l,u,m,s
lyric,l,y,r,i,c
puffs,p,u,f,f,s
decks,d,e,c,k,s
brood,b,r,o,o,d
mourn,m,o,u,r,n
aloft,a,l,o,f,t
abuse,a,b,u,s,e
whirl,w,h,i,r,l
edged,e,d,g,e,d
ovary,o,v,a,r,y
quack,q,u,a,c,k
heaps,h,e,a,p,s
slang,s,l,a,n,g
await,a,w,a,i,t
civic,c,i,v,i,c
saint,s,a,i,n,t
bevel,b,e,v,e,l
sonar,s,o,n,a,r
aunts,a,u,n,t,s
packs,p,a,c,k,s
froze,f,r,o,z,e
tonic,t,o,n,i,c
corps,c,o,r,p,s
swarm,s,w,a,r,m
frank,f,r,a,n,k
repay,r,e,p,a,y
gaunt,g,a,u,n,t
wired,w,i,r,e,d
niece,n,i,e,c,e
cello,c,e,l,l,o
needy,n,e,e,d,y
chuck,c,h,u,c,k
stony,s,t,o,n,y
media,m,e,d,i,a
surge,s,u,r,g,e
hurts,h,u,r,t,s
repel,r,e,p,e,l
husky,h,u,s,k,y
dated,d,a,t,e,d
hunts,h,u,n,t,s
mists,m,i,s,t,s
exert,e,x,e,r,t
dries,d,r,i,e,s
mates,m,a,t,e,s
sworn,s,w,o,r,n
baker,b,a,k,e,r
spice,s,p,i,c,e
oasis,o,a,s,i,s
boils,b,o,i,l,s
spurs,s,p,u,r,s
doves,d,o,v,e,s
sneak,s,n,e,a,k
paces,p,a,c,e,s
colon,c,o,l,o,n
siege,s,i,e,g,e
strum,s,t,r,u,m
drier,d,r,i,e,r
cacao,c,a,c,a,o
humus,h,u,m,u,s
bales,b,a,l,e,s
piped,p,i,p,e,d
nasty,n,a,s,t,y
rinse,r,i,n,s,e
boxer,b,o,x,e,r
shrub,s,h,r,u,b
amuse,a,m,u,s,e
tacks,t,a,c,k,s
cited,c,i,t,e,d
slung,s,l,u,n,g
delta,d,e,l,t,a
laden,l,a,d,e,n
larva,l,a,r,v,a
rents,r,e,n,t,s
yells,y,e,l,l,s
spool,s,p,o,o,l
spill,s,p,i,l,l
crush,c,r,u,s,h
jewel,j,e,w,e,l
snaps,s,n,a,p,s
stain,s,t,a,i,n
kicks,k,i,c,k,s
tying,t,y,i,n,g
slits,s,l,i,t,s
rated,r,a,t,e,d
eerie,e,e,r,i,e
smash,s,m,a,s,h
plums,p,l,u,m,s
zebra,z,e,b,r,a
earns,e,a,r,n,s
bushy,b,u,s,h,y
scary,s,c,a,r,y
squad,s,q,u,a,d
tutor,t,u,t,o,r
silks,s,i,l,k,s
slabs,s,l,a,b,s
bumps,b,u,m,p,s
evils,e,v,i,l,s
fangs,f,a,n,g,s
snout,s,n,o,u,t
peril,p,e,r,i,l
pivot,p,i,v,o,t
yacht,y,a,c,h,t
lobby,l,o,b,b,y
jeans,j,e,a,n,s
grins,g,r,i,n,s
viola,v,i,o,l,a
liner,l,i,n,e,r
comet,c,o,m,e,t
scars,s,c,a,r,s
chops,c,h,o,p,s
raids,r,a,i,d,s
eater,e,a,t,e,r
slate,s,l,a,t,e
skips,s,k,i,p,s
soles,s,o,l,e,s
misty,m,i,s,t,y
urine,u,r,i,n,e
knobs,k,n,o,b,s
sleet,s,l,e,e,t
holly,h,o,l,l,y
pests,p,e,s,t,s
forks,f,o,r,k,s
grill,g,r,i,l,l
trays,t,r,a,y,s
pails,p,a,i,l,s
borne,b,o,r,n,e
tenor,t,e,n,o,r
wares,w,a,r,e,s
carol,c,a,r,o,l
woody,w,o,o,d,y
canon,c,a,n,o,n
wakes,w,a,k,e,s
kitty,k,i,t,t,y
miner,m,i,n,e,r
polls,p,o,l,l,s
shaky,s,h,a,k,y
nasal,n,a,s,a,l
scorn,s,c,o,r,n
chess,c,h,e,s,s
taxis,t,a,x,i,s
crate,c,r,a,t,e
shyly,s,h,y,l,y
tulip,t,u,l,i,p
forge,f,o,r,g,e
nymph,n,y,m,p,h
budge,b,u,d,g,e
lowly,l,o,w,l,y
abide,a,b,i,d,e
depot,d,e,p,o,t
oases,o,a,s,e,s
asses,a,s,s,e,s
sheds,s,h,e,d,s
fudge,f,u,d,g,e
pills,p,i,l,l,s
rivet,r,i,v,e,t
thine,t,h,i,n,e
groom,g,r,o,o,m
lanky,l,a,n,k,y
boost,b,o,o,s,t
broth,b,r,o,t,h
heave,h,e,a,v,e
gravy,g,r,a,v,y
beech,b,e,e,c,h
timed,t,i,m,e,d
quail,q,u,a,i,l
inert,i,n,e,r,t
gears,g,e,a,r,s
chick,c,h,i,c,k
hinge,h,i,n,g,e
trash,t,r,a,s,h
clash,c,l,a,s,h
sighs,s,i,g,h,s
renew,r,e,n,e,w
bough,b,o,u,g,h
dwarf,d,w,a,r,f
slows,s,l,o,w,s
quill,q,u,i,l,l
shave,s,h,a,v,e
spore,s,p,o,r,e
sixes,s,i,x,e,s
chunk,c,h,u,n,k
madly,m,a,d,l,y
paced,p,a,c,e,d
braid,b,r,a,i,d
fuzzy,f,u,z,z,y
motto,m,o,t,t,o
spies,s,p,i,e,s
slack,s,l,a,c,k
mucus,m,u,c,u,s
magma,m,a,g,m,a
awful,a,w,f,u,l
discs,d,i,s,c,s
erase,e,r,a,s,e
posed,p,o,s,e,d
asset,a,s,s,e,t
cider,c,i,d,e,r
taper,t,a,p,e,r
theft,t,h,e,f,t
churn,c,h,u,r,n
satin,s,a,t,i,n
slots,s,l,o,t,s
taxed,t,a,x,e,d
bully,b,u,l,l,y
sloth,s,l,o,t,h
shale,s,h,a,l,e
tread,t,r,e,a,d
raked,r,a,k,e,d
curds,c,u,r,d,s
manor,m,a,n,o,r
aisle,a,i,s,l,e
bulge,b,u,l,g,e
loins,l,o,i,n,s
stair,s,t,a,i,r
tapes,t,a,p,e,s
leans,l,e,a,n,s
bunks,b,u,n,k,s
squat,s,q,u,a,t
towed,t,o,w,e,d
lance,l,a,n,c,e
panes,p,a,n,e,s
sakes,s,a,k,e,s
heirs,h,e,i,r,s
caste,c,a,s,t,e
dummy,d,u,m,m,y
pores,p,o,r,e,s
fauna,f,a,u,n,a
crook,c,r,o,o,k
poise,p,o,i,s,e
epoch,e,p,o,c,h
risky,r,i,s,k,y
warns,w,a,r,n,s
fling,f,l,i,n,g
berry,b,e,r,r,y
grape,g,r,a,p,e
flank,f,l,a,n,k
drags,d,r,a,g,s
squid,s,q,u,i,d
pelts,p,e,l,t,s
icing,i,c,i,n,g
irony,i,r,o,n,y
irons,i,r,o,n,s
barks,b,a,r,k,s
whoop,w,h,o,o,p
choke,c,h,o,k,e
diets,d,i,e,t,s
whips,w,h,i,p,s
tally,t,a,l,l,y
dozed,d,o,z,e,d
twine,t,w,i,n,e
kites,k,i,t,e,s
bikes,b,i,k,e,s
ticks,t,i,c,k,s
riots,r,i,o,t,s
roars,r,o,a,r,s
vault,v,a,u,l,t
looms,l,o,o,m,s
scold,s,c,o,l,d
blink,b,l,i,n,k
dandy,d,a,n,d,y
pupae,p,u,p,a,e
sieve,s,i,e,v,e
spike,s,p,i,k,e
ducts,d,u,c,t,s
lends,l,e,n,d,s
pizza,p,i,z,z,a
brink,b,r,i,n,k
widen,w,i,d,e,n
plumb,p,l,u,m,b
pagan,p,a,g,a,n
feats,f,e,a,t,s
bison,b,i,s,o,n
soggy,s,o,g,g,y
scoop,s,c,o,o,p
argon,a,r,g,o,n
nudge,n,u,d,g,e
skiff,s,k,i,f,f
amber,a,m,b,e,r
sexes,s,e,x,e,s
rouse,r,o,u,s,e
salts,s,a,l,t,s
hitch,h,i,t,c,h
exalt,e,x,a,l,t
leash,l,e,a,s,h
dined,d,i,n,e,d
chute,c,h,u,t,e
snort,s,n,o,r,t
gusts,g,u,s,t,s
melon,m,e,l,o,n
cheat,c,h,e,a,t
reefs,r,e,e,f,s
llama,l,l,a,m,a
lasso,l,a,s,s,o
debut,d,e,b,u,t
quota,q,u,o,t,a
oaths,o,a,t,h,s
prone,p,r,o,n,e
mixes,m,i,x,e,s
rafts,r,a,f,t,s
dives,d,i,v,e,s
stale,s,t,a,l,e
inlet,i,n,l,e,t
flick,f,l,i,c,k
pinto,p,i,n,t,o
brows,b,r,o,w,s
untie,u,n,t,i,e
batch,b,a,t,c,h
greed,g,r,e,e,d
chore,c,h,o,r,e
stirs,s,t,i,r,s
blush,b,l,u,s,h
onset,o,n,s,e,t
barbs,b,a,r,b,s
volts,v,o,l,t,s
beige,b,e,i,g,e
swoop,s,w,o,o,p
paddy,p,a,d,d,y
laced,l,a,c,e,d
shove,s,h,o,v,e
jerky,j,e,r,k,y
poppy,p,o,p,p,y
leaks,l,e,a,k,s
fares,f,a,r,e,s
dodge,d,o,d,g,e
godly,g,o,d,l,y
squaw,s,q,u,a,w
affix,a,f,f,i,x
brute,b,r,u,t,e
nicer,n,i,c,e,r
undue,u,n,d,u,e
snarl,s,n,a,r,l
merge,m,e,r,g,e
doses,d,o,s,e,s
showy,s,h,o,w,y
daddy,d,a,d,d,y
roost,r,o,o,s,t
vases,v,a,s,e,s
swirl,s,w,i,r,l
petty,p,e,t,t,y
colds,c,o,l,d,s
curry,c,u,r,r,y
cobra,c,o,b,r,a
genie,g,e,n,i,e
flare,f,l,a,r,e
messy,m,e,s,s,y
cores,c,o,r,e,s
soaks,s,o,a,k,s
ripen,r,i,p,e,n
whine,w,h,i,n,e
amino,a,m,i,n,o
plaid,p,l,a,i,d
spiny,s,p,i,n,y
mowed,m,o,w,e,d
baton,b,a,t,o,n
peers,p,e,e,r,s
vowed,v,o,w,e,d
pious,p,i,o,u,s
swans,s,w,a,n,s
exits,e,x,i,t,s
afoot,a,f,o,o,t
plugs,p,l,u,g,s
idiom,i,d,i,o,m
chili,c,h,i,l,i
rites,r,i,t,e,s
serfs,s,e,r,f,s
cleft,c,l,e,f,t
berth,b,e,r,t,h
grubs,g,r,u,b,s
annex,a,n,n,e,x
dizzy,d,i,z,z,y
hasty,h,a,s,t,y
latch,l,a,t,c,h
wasps,w,a,s,p,s
mirth,m,i,r,t,h
baron,b,a,r,o,n
plead,p,l,e,a,d
aloof,a,l,o,o,f
aging,a,g,i,n,g
pixel,p,i,x,e,l
bared,b,a,r,e,d
mummy,m,u,m,m,y
hotly,h,o,t,l,y
auger,a,u,g,e,r
buddy,b,u,d,d,y
chaps,c,h,a,p,s
badge,b,a,d,g,e
stark,s,t,a,r,k
fairs,f,a,i,r,s
gully,g,u,l,l,y
mumps,m,u,m,p,s
emery,e,m,e,r,y
filly,f,i,l,l,y
ovens,o,v,e,n,s
drone,d,r,o,n,e
gauze,g,a,u,z,e
idiot,i,d,i,o,t
fussy,f,u,s,s,y
annoy,a,n,n,o,y
shank,s,h,a,n,k
gouge,g,o,u,g,e
bleed,b,l,e,e,d
elves,e,l,v,e,s
roped,r,o,p,e,d
unfit,u,n,f,i,t
baggy,b,a,g,g,y
mower,m,o,w,e,r
scant,s,c,a,n,t
grabs,g,r,a,b,s
fleas,f,l,e,a,s
lousy,l,o,u,s,y
album,a,l,b,u,m
sawed,s,a,w,e,d
cooky,c,o,o,k,y
murky,m,u,r,k,y
infer,i,n,f,e,r
burly,b,u,r,l,y
waged,w,a,g,e,d
dingy,d,i,n,g,y
brine,b,r,i,n,e
kneel,k,n,e,e,l
creak,c,r,e,a,k
vanes,v,a,n,e,s
smoky,s,m,o,k,y
spurt,s,p,u,r,t
combs,c,o,m,b,s
easel,e,a,s,e,l
laces,l,a,c,e,s
humps,h,u,m,p,s
rumor,r,u,m,o,r
aroma,a,r,o,m,a
horde,h,o,r,d,e
swiss,s,w,i,s,s
leapt,l,e,a,p,t
opium,o,p,i,u,m
slime,s,l,i,m,e
afire,a,f,i,r,e
pansy,p,a,n,s,y
mares,m,a,r,e,s
soaps,s,o,a,p,s
husks,h,u,s,k,s
snips,s,n,i,p,s
hazel,h,a,z,e,l
lined,l,i,n,e,d
cafes,c,a,f,e,s
naive,n,a,i,v,e
wraps,w,r,a,p,s
sized,s,i,z,e,d
piers,p,i,e,r,s
beset,b,e,s,e,t
agile,a,g,i,l,e
tongs,t,o,n,g,s
steed,s,t,e,e,d
fraud,f,r,a,u,d
booty,b,o,o,t,y
valor,v,a,l,o,r
downy,d,o,w,n,y
witty,w,i,t,t,y
mossy,m,o,s,s,y
psalm,p,s,a,l,m
scuba,s,c,u,b,a
tours,t,o,u,r,s
polka,p,o,l,k,a
milky,m,i,l,k,y
gaudy,g,a,u,d,y
shrug,s,h,r,u,g
tufts,t,u,f,t,s
wilds,w,i,l,d,s
laser,l,a,s,e,r
truss,t,r,u,s,s
hares,h,a,r,e,s
creed,c,r,e,e,d
lilac,l,i,l,a,c
siren,s,i,r,e,n
tarry,t,a,r,r,y
bribe,b,r,i,b,e
swine,s,w,i,n,e
muted,m,u,t,e,d
flips,f,l,i,p,s
cures,c,u,r,e,s
sinew,s,i,n,e,w
boxed,b,o,x,e,d
hoops,h,o,o,p,s
gasps,g,a,s,p,s
hoods,h,o,o,d,s
niche,n,i,c,h,e
yucca,y,u,c,c,a
glows,g,l,o,w,s
sewer,s,e,w,e,r
whack,w,h,a,c,k
fuses,f,u,s,e,s
gowns,g,o,w,n,s
droop,d,r,o,o,p
bucks,b,u,c,k,s
pangs,p,a,n,g,s
mails,m,a,i,l,s
whisk,w,h,i,s,k
haven,h,a,v,e,n
clasp,c,l,a,s,p
sling,s,l,i,n,g
stint,s,t,i,n,t
urges,u,r,g,e,s
champ,c,h,a,m,p
piety,p,i,e,t,y
chirp,c,h,i,r,p
pleat,p,l,e,a,t
posse,p,o,s,s,e
sunup,s,u,n,u,p
menus,m,e,n,u,s
howls,h,o,w,l,s
quake,q,u,a,k,e
knack,k,n,a,c,k
plaza,p,l,a,z,a
fiend,f,i,e,n,d
caked,c,a,k,e,d
bangs,b,a,n,g,s
erupt,e,r,u,p,t
poker,p,o,k,e,r
olden,o,l,d,e,n
cramp,c,r,a,m,p
voter,v,o,t,e,r
poses,p,o,s,e,s
manly,m,a,n,l,y
slump,s,l,u,m,p
fined,f,i,n,e,d
grips,g,r,i,p,s
gaped,g,a,p,e,d
purge,p,u,r,g,e
hiked,h,i,k,e,d
maize,m,a,i,z,e
fluff,f,l,u,f,f
strut,s,t,r,u,t
sloop,s,l,o,o,p
prowl,p,r,o,w,l
roach,r,o,a,c,h
cocks,c,o,c,k,s
bland,b,l,a,n,d
dials,d,i,a,l,s
plume,p,l,u,m,e
slaps,s,l,a,p,s
soups,s,o,u,p,s
dully,d,u,l,l,y
wills,w,i,l,l,s
foams,f,o,a,m,s
solos,s,o,l,o,s
skier,s,k,i,e,r
eaves,e,a,v,e,s
totem,t,o,t,e,m
fused,f,u,s,e,d
latex,l,a,t,e,x
veils,v,e,i,l,s
mused,m,u,s,e,d
mains,m,a,i,n,s
myrrh,m,y,r,r,h
racks,r,a,c,k,s
galls,g,a,l,l,s
gnats,g,n,a,t,s
bouts,b,o,u,t,s
sisal,s,i,s,a,l
shuts,s,h,u,t,s
hoses,h,o,s,e,s
dryly,d,r,y,l,y
hover,h,o,v,e,r
gloss,g,l,o,s,s
seeps,s,e,e,p,s
denim,d,e,n,i,m
putty,p,u,t,t,y
guppy,g,u,p,p,y
leaky,l,e,a,k,y
dusky,d,u,s,k,y
filth,f,i,l,t,h
oboes,o,b,o,e,s
spans,s,p,a,n,s
fowls,f,o,w,l,s
adorn,a,d,o,r,n
glaze,g,l,a,z,e
haunt,h,a,u,n,t
dares,d,a,r,e,s
obeys,o,b,e,y,s
bakes,b,a,k,e,s
abyss,a,b,y,s,s
smelt,s,m,e,l,t
gangs,g,a,n,g,s
aches,a,c,h,e,s
trawl,t,r,a,w,l
claps,c,l,a,p,s
undid,u,n,d,i,d
spicy,s,p,i,c,y
hoist,h,o,i,s,t
fades,f,a,d,e,s
vicar,v,i,c,a,r
acorn,a,c,o,r,n
pussy,p,u,s,s,y
gruff,g,r,u,f,f
musty,m,u,s,t,y
tarts,t,a,r,t,s
snuff,s,n,u,f,f
hunch,h,u,n,c,h
truce,t,r,u,c,e
tweed,t,w,e,e,d
dryer,d,r,y,e,r
loser,l,o,s,e,r
sheaf,s,h,e,a,f
moles,m,o,l,e,s
lapse,l,a,p,s,e
tawny,t,a,w,n,y
vexed,v,e,x,e,d
autos,a,u,t,o,s
wager,w,a,g,e,r
domes,d,o,m,e,s
sheen,s,h,e,e,n
clang,c,l,a,n,g
spade,s,p,a,d,e
sowed,s,o,w,e,d
broil,b,r,o,i,l
slyly,s,l,y,l,y
studs,s,t,u,d,s
grunt,g,r,u,n,t
donor,d,o,n,o,r
slugs,s,l,u,g,s
aspen,a,s,p,e,n
homer,h,o,m,e,r
croak,c,r,o,a,k
tithe,t,i,t,h,e
halts,h,a,l,t,s
avert,a,v,e,r,t
havoc,h,a,v,o,c
hogan,h,o,g,a,n
glint,g,l,i,n,t
ruddy,r,u,d,d,y
jeeps,j,e,e,p,s
flaky,f,l,a,k,y
ladle,l,a,d,l,e
taunt,t,a,u,n,t
snore,s,n,o,r,e
fines,f,i,n,e,s
props,p,r,o,p,s
prune,p,r,u,n,e
pesos,p,e,s,o,s
radii,r,a,d,i,i
pokes,p,o,k,e,s
tiled,t,i,l,e,d
daisy,d,a,i,s,y
heron,h,e,r,o,n
villa,v,i,l,l,a
farce,f,a,r,c,e
binds,b,i,n,d,s
cites,c,i,t,e,s
fixes,f,i,x,e,s
jerks,j,e,r,k,s
livid,l,i,v,i,d
waked,w,a,k,e,d
inked,i,n,k,e,d
booms,b,o,o,m,s
chews,c,h,e,w,s
licks,l,i,c,k,s
hyena,h,y,e,n,a
scoff,s,c,o,f,f
lusty,l,u,s,t,y
sonic,s,o,n,i,c
smith,s,m,i,t,h
usher,u,s,h,e,r
tucks,t,u,c,k,s
vigil,v,i,g,i,l
molts,m,o,l,t,s
sects,s,e,c,t,s
spars,s,p,a,r,s
